msno,total_secs,num_unq,paid_sum,plays_total,has_usage,has_payment,auto_renew_rate,cancel_txn_count,total_secs_lag1,total_secs_diff1,num_unq_lag1,num_unq_diff1,paid_sum_lag1,paid_sum_diff1,plays_total_lag1,plays_total_diff1,has_usage_lag1,has_usage_diff1,has_payment_lag1,has_payment_diff1,auto_renew_rate_lag1,auto_renew_rate_diff1,cancel_txn_count_lag1,cancel_txn_count_diff1,is_ativo,is_ativo_fut,churn_3m,label_trust,fut_active_rate,churn_rate_month,safra
++8XaEDast796K/DQcP7sSoRQ8JRnA7X5S+oyXEw62E=,202734.67799999999,568.0,149.0,971.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++95tJZADNg8U8HKbYdxbbXIRsO6pw1zBK4tHI7BtZo=,99344.251,335.0,149.0,507.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++9JUsaZioofS6Fb20Z0z2QOlWNzakO0PRF5GZ75yi4=,150689.61100000003,407.0,149.0,672.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++9l7+WGOZ96gNp0TDXxHAydOlXYE0CiuqWFTxA6zZI=,156787.50199999998,632.0,,835.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++A8p4GrsTnMjI6hAZEtlRsaz6s6O9ddUoH0fmS4s7s=,148884.469,841.0,129.0,946.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++AQDoOxAjCANtzB0K8e0PUE42NzvA3MsXpTFCpArdg=,65709.743,363.0,150.0,392.0,1,1,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++AUO3R1KQrmwa8fAXXocoQlouJTnpjQKPs+yLDVxM8=,775.055,4.0,,5.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++ArE/S0ZD3GheB2lud9sqCKLbUcEQy/YKX6F1irOH4=,95785.449,449.0,149.0,507.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++BBU1qnsavj2eC5j5G6dTda9ntLhRiz+pidG73im5s=,35488.658,117.0,149.0,163.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++BSHAWSBmDw19JFFA2NOArtO8ye24XgKnjhSHOORqo=,1285.103,7.0,,8.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++BW1PJYU5OZi3n3+IDLiU+d1IL1VE/GLx6p64TDs6U=,132575.12000000002,597.0,,876.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++CITmZPtQDWOi01uceGb75QJblInDRhjjGM1MmsiSY=,36233.302,76.0,149.0,164.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++DcyRE+ZfLtlKGigvv9dv5EQ4KAhHhiN9LM9X+F1vw=,469395.70900000003,1428.0,149.0,2045.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++E1waHrjSGFrLK4FgYHlaQgZ22Fn2fuoc929CTPtlA=,140030.42700000003,595.0,149.0,640.0,1,1,1.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++EcAZQCSSJQMx37/+/QqjiVQq3cS/hGug6JlzCufig=,102144.39899999999,314.0,149.0,523.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++Eictrlt63fxhzSCquIj9BdTchtKMAnlYJg/8Hvn9U=,4144.575,55.0,,66.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++FHWhbSrK+rHhHRClUmdqGJ1xsnytd3xBOUTO97LWs=,59097.411,371.0,149.0,456.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++FM6zdGj2whewSf10HHTRTeg2/jnxq3NQJKeYmAKwY=,35952.644,220.0,,238.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++FPL1dXZBXC3Cf6gE0HQiIHg1Pd+DBdK7w52xcUmX0=,59171.168,231.0,149.0,237.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++FojTWzKjhz7uxsZXEN3KBpxSmSvPr2j9KEuLzVAm4=,25925.820000000003,98.0,149.0,107.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++GVWCJ/8c4RVSUmn5mrt3VFGLUfmYIGVJ/SHLWPACw=,77452.468,333.0,119.0,431.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++GdPZOcjyKMZVFTV/NrhxgX3yLVlXOS2X4NetdjkMY=,101561.21299999999,194.0,,430.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++GeSFVX+57LLP1FT1EQ5uUWgP03beR/Bzh52e6Rd3E=,680538.3510000001,2530.0,149.0,2905.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++H2ji6yR76RytMvOruQBdvd8kYumw0BqS+fGxsRCTo=,703108.178,2556.0,149.0,3189.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++IaTtvm/GSYW/IpwEWZMsa2VC2/AVLtMdOlUmCkS1A=,56980.50099999999,277.0,134.0,322.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++IjleA6pVExACeYOj1kyyE1MNGt5vVTAX94T2VNasE=,25982.357,21.0,119.0,107.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++IrpeciSQ6NWOp78CLvSLjcJVwBecNHnYzvOrxFAPE=,75250.94999999998,272.0,,355.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++Jb6VCdI1Xil6gRxVfr/qdnhbSYLD85Ox8i/AN1RP4=,20447.332,70.0,149.0,92.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++Jgz/7glh4OFgjoBC9t1zIrRCogvp8P7wYf2jpsir4=,28756.659000000003,122.0,149.0,127.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++KbErD/TJoTzWzoMQzvaHHnRPE5GZLjXR2YbfbJ+ow=,224296.421,878.0,119.0,964.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++L+G2jsvbkHMHlwvb2KQiRLAvB4VyEfjVJTUrs5auE=,610390.764,1976.0,149.0,3157.0,1,1,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++L3Kr4/CtPSdU9BrsaX/E9ziEKoD9yK5vwk8DVXmHo=,127128.05,464.0,,683.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++Lfi7hz0oYXy53SHOgfaczdYMl3BWWOt7HbM/UaOU4=,12734.063999999998,52.0,,77.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++MMk1iSQdA3R+Oc167i7hu53ttFvz57mIKEKvdrmLM=,23727.613,102.0,129.0,113.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++OXoA95cZKOFdDTpYdcb4ru0ROYyPgo8ENI0vllKN0=,21339.101000000002,86.0,,89.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++OvJH5FmfZ5CRrYfmbQEk7tJwCZhsJnkWbxClRaUpw=,26486.252999999997,114.0,149.0,118.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++Pn0C12cgWQPG4eSGOqQHYiw/gHgHKNsLBpBmTZYuQ=,241911.81599999993,887.0,150.0,1609.0,1,1,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++RZ3hJKEp0nnw0KXFStlqXz+2sTL7q+Zg2n8pVYyj0=,5143.3099999999995,15.0,,23.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++SIK5gV6oE1D9SdfIqpvvSPcdSpELoNyerIKpZE+Q8=,339428.572,1053.0,119.0,1581.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++SJvhuP8SUJ7Hsaxx0gD18E44tqooxcsqDLFpou73Y=,87179.638,388.0,,446.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++UEvwqAY2F9VpiLLHeicRU4D6FzbSDiaDrFkPrhqq8=,279360.969,676.0,,1227.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++Ul0d/zttMT6E/Ftz2IgbdzazUJT/b3bu7UG7Ve2og=,406439.33,1577.0,149.0,2113.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++UyRqjARgvFXB6YdIVvIKnDWvPiCPo4yBb5tKJrjEc=,123997.81899999999,510.0,119.0,571.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++VNRMQoGY6E5ontEaWuAPUqVk/W1vbSDMzRfc3TQbM=,7472.218999999999,40.0,119.0,48.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++Ve6PtJ8HDzBYbkuwGkmNrXdOk7ZLfTATtE6G/mX/U=,13579.037,53.0,,54.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++X86/NhBH23Ord6wyYnjHUiBIY/OUwpyT2lPIPOSY8=,322203.7920000001,846.0,149.0,1453.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++XFuHRfqV0icOgUFqaL6Sjyrh8r1Ldc0JRKxsV+dIk=,163752.30500000002,765.0,,1027.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++XKXYly5nP1VAHkIY54gLEceN1Cgws3dKreSAY1KrM=,21850.698,61.0,149.0,108.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++XNdJjfGpF5k/o2548rYGpi9Xly1LcoTt3N6e0Xw8o=,141205.14,695.0,149.0,713.0,1,1,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++XUkJTlhDvkNMIEx2EBLuwa0EqSgMaM5FGnfZlOWBI=,18112.811,134.0,,250.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++YTHSHuNrQ3ZlYngLG2eHDjPNx1pxDwaiYvyn/EvbU=,877.8119999999999,5.0,,5.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++YZtc+IIAV73+j+RjyCFmFVPnN2jyXTGw3lehYJ5zA=,120767.34199999999,498.0,149.0,514.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++Zm4BQcxL8/QaQnMAd5D9L75OtpVIuhSiJHSS4aPus=,3454.206,23.0,149.0,24.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++aVm+4v87MXzbhiEXoS7OszzRxcfny8aKalISGUR9I=,181530.23799999998,539.0,149.0,812.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++am6f+rLDE3gjQM7pKLVAthwCgaI46WHbTNuKtgpbI=,13504.348000000002,100.0,129.0,117.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++bIcE+J/e/1b77I2Y3m+OJsqECiVfMeOLgX92evook=,117969.932,457.0,149.0,517.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++bQ/m6G+0XALmzX6fVXZmJkTBL95sxh166sI/METug=,32742.128000000004,120.0,,175.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++bSthEZMtWTJ+QnupXtVNyqq8g5Xwmj9anbxgw2AOQ=,38759.291,134.0,0.0,158.0,1,0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++bjW+qfoSxUnQRCJnZ1khb4qpbT01JwViLze8mTOAk=,233989.03299999997,1047.0,149.0,1104.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++cQGLGjQoa2W9/wcuBsH0ypHZmK4Z0m+YIKGgI5ryw=,391.669,2.0,,2.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++ctvOaat5GA9vNamCSPGS2NtyaKjQWF1qjpBBq/nI8=,242019.232,797.0,149.0,957.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++dN6aEG6ImOgW2uV8UGK2nfrnbZ0nYTcVgtt+nmKQg=,116212.63799999999,261.0,149.0,600.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++dv8FkN8F0u04Jl5glpj3gzD2ytDpOxAoc9LMsvF4E=,21751.586999999996,96.0,149.0,102.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++e+jsxuQ8UEnmW40od9Rq3rW7+wAum4wooXyZTKJpk=,50471.376000000004,143.0,119.0,236.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++eAXdc+vaLcNjzBJcLWBFertqfF/x0WfU+bu0eaj2A=,3006.7900000000004,11.0,,11.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++eWyD5lL+5DUiN4GBqwP2WGiUV/CraqBZNNGg1LPUs=,513667.7699999999,963.0,149.0,2164.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++f8snpQnmR06b0a8bkOJE1bOryfFpqa3yXhPons9e0=,80296.46800000001,391.0,149.0,428.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++fJGeBeGXH7MAvb6G7CWLt0leqBP0GAY4LOQ60DhcQ=,80140.74699999999,522.0,,641.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++fQdnd69CNacwK1fnUnCOz6gCFhmrlSxSkMlv74KC0=,86522.417,437.0,149.0,484.0,1,1,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++gBw2LuXMIbXXlYAEJHrxo31ZIBO2HT0EMm7j+ABxA=,296157.76600000006,1118.0,119.0,1291.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++gZjzjkC8lAqAtcOxAz0677Ygp0CE1hNqd3v9lRKG0=,189057.447,576.0,149.0,718.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++ghRXf+f258JCBO1BBgs2KvK3YPdtNjJXPkgTkzwqQ=,103128.119,729.0,150.0,788.0,1,1,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++hgstYm8nI7aIRqDuDliQ3s3RyWTINxa6ECvNdaQXc=,8437.757,62.0,,62.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++iGkT7njWLM695MwO+C0eG3DN4/LOYWVDOVEJpT4yU=,199123.71600000001,1146.0,149.0,1405.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++iWKkvYK2+byD1UvuVlS/tDUafoUwD5vD11v4ABBO0=,302030.84500000003,640.0,,1428.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++j2SYmpLBS0CgzyaQgw+Ex2KIBEOGzg6esVjJzFNkY=,22729.696,102.0,119.0,108.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++j9I2uEuvosp709iG5sdmYayu1yVC9dQ21g23uyLPQ=,162981.44999999995,567.0,149.0,749.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++jbV49/2rayAbDFcuc17mtZklsc9Ob/kHmGQfsTrLI=,129025.90400000002,592.0,119.0,770.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++jmANUQSjTA+JUn8nI5hZjXpYcg13vVjpY2UeMaxSk=,3516.1499999999996,36.0,149.0,42.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++k+6z85YPKLvq+oZ1nJTWysPZW97NT4D3j+OM0tBck=,6066.965,26.0,,29.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++lJ3R8mLL7PpfIFAuQjx2J3le8JJ4Sk3RrgBX54qOk=,20308.548000000003,90.0,,101.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++lLVOek3rREuDkV0eaTiWHMbnEIRjDrPQfSVHPxhnY=,114155.66199999997,235.0,149.0,508.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++laFYWTCjjGfTqT47mTBxY6i25nwhpuhJeIm4Oafl0=,7543.3060000000005,52.0,,58.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++ldEMvBYpbAHLAmq2n/S8JN7+rIOMxGBLgbhaE1oxU=,40.851,1.0,149.0,1.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++louq8dTndCfhv1eH4zV4M6e5dbsdgqcl6sPj+F2q4=,14582.641,61.0,,65.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++lvGPJOinuin/8esghpnqdljm6NXS8m8Zwchc7gOeA=,50458.41300000001,115.0,,205.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++lyY7knLqnnBcAjwVDpc3hPv5RGCuagXv7H50Y2e4I=,368608.6479999999,1214.0,,1982.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++my1D/c0dVLhNd4UY8toRaBlNMwILn7bgVluDgx2As=,2763.921,12.0,,12.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++nIX8NDXEAJy50QAIAu3K1jw3fcHimppHXs49CjYtE=,88030.45599999999,561.0,,632.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++nPmTjej8IMwfA+zZXSkkHM/MhR1ibBIdwTVNMGneg=,13974.667,125.0,149.0,136.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,765.46,5.0,,5.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++ny9gX4wM/1tNrLg/FsJPh0bLPPuY5mscc3zhnRYP8=,106739.80900000001,362.0,149.0,1078.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++oXIXmgqlMjdoyLncPieObbuXZeSHGDsI6xk15WkIM=,45388.172,251.0,,375.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++ojyEaFy2n//6IMiBcnKXiSHSdFJjtTzmvRgZ+FuRI=,154637.97000000003,417.0,149.0,707.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++oxbM4d4U0UmUUUpYD6nMkLv5dvpb6yOGdL7dIQ3No=,225966.52099999998,284.0,119.0,881.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++pCffaply7OuAlbcK4QgrwyNAbxYgoL+0gXW/XjIIo=,444914.341,1207.0,149.0,1929.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++pHzikrMihp0WXxxVIRtPA3rxbaqUqSqaPckVq13sA=,329751.36499999993,757.0,149.0,1371.0,1,1,1.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++pKvncSjIOexwelYzBoXC+ZiHBar9vuFqFKNPvvbRc=,80705.646,294.0,149.0,381.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++pSqgOqSB8laOm+RTW6NLTqsMVQ0egh4Rs5+GOSJrQ=,10742.665,30.0,119.0,65.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++ppGNpY5vGeIgsCposUJoXqKUqO/2lqg1cnsYzkqF4=,251.193,1.0,,1.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++qTmh4qA8N9/jpTo4sNdzOoQt8ZepzMQ5cfqcFGlGI=,25997.752999999997,183.0,129.0,189.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++qr80W6ai0JS3z0Q4gViEnf2kwnVRme53gzKlXtB/c=,273014.807,976.0,149.0,1338.0,1,1,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++qrpDuYsU5FydcPQItV/NB1lh3JAqdZ8IZHA4+E8lM=,248334.537,827.0,,1065.0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
++qstYsarRvV1r4rc3aexRBzm60fkKfI/6ymR9xjZCM=,182649.48599999998,697.0,149.0,820.0,1,1,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,201501
